,orders_details_id_x,efficiency,class,sifter_speed_nominal_pct,steam_preasure,dd_speed,temp_out,water_pct,water_correction,bigbag_filling_time_end_out,bigbag_filling_time_end_bb,testing_time,slurry_start_time,fat_pct,particles_grp1,particles_grp2,particles_grp3,moisture,usage_pct,elems
0,1,100.0,optimal,0.75,8.0,7.5,118.0,0.66,-60.0,2018-06-04 20:35:00.000,2018-06-04 19:05:00.000,2018-06-04 18:30:00.000,2018-06-04 18:10:00.000,0.06060400000000001,0.5373410000000001,0.210579,0.23367399999999997,11.4533,1.0,2
1,1,115.0,above,0.75,8.0,7.5,118.0,0.66,-60.0,2018-06-04 22:15:00.000,2018-06-04 20:35:00.000,2018-06-04 20:30:00.000,2018-06-04 20:30:00.000,0.06060400000000001,0.5373410000000001,0.210579,0.23367399999999997,11.4533,1.0,2
2,1,107.0,optimal,0.75,8.0,7.5,118.0,0.66,-60.0,2018-06-04 23:35:00.000,2018-06-04 22:15:00.000,2018-06-04 21:30:00.000,2018-06-04 21:10:00.000,0.06060400000000001,0.5373410000000001,0.210579,0.23367399999999997,11.4533,1.0,2
3,1,105.0,optimal,0.75,8.0,8.5,113.0,0.66,-60.0,2018-06-05 01:05:00.000,2018-06-04 23:35:00.000,2018-06-04 23:30:00.000,2018-06-04 23:00:00.000,0.06060400000000001,0.5373410000000001,0.210579,0.23367399999999997,11.4533,1.0,2
4,1,104.0,optimal,0.8,8.2,8.5,112.0,0.66,-60.0,2018-06-05 02:35:00.000,2018-06-05 01:05:00.000,2018-06-05 00:30:00.000,2018-06-05 00:15:00.000,0.06060400000000001,0.5373410000000001,0.210579,0.23367399999999997,11.4533,1.0,2
5,1,90.0,below,0.8,8.2,8.5,112.0,0.66,-60.0,2018-06-05 04:05:00.000,2018-06-05 02:35:00.000,2018-06-05 02:30:00.000,2018-06-05 02:10:00.000,0.06060400000000001,0.5373410000000001,0.210579,0.23367399999999997,11.4533,1.0,2
6,1,94.0,below,0.8,8.2,8.5,113.0,0.66,-60.0,2018-06-05 05:25:00.000,2018-06-05 04:05:00.000,2018-06-05 03:30:00.000,2018-06-05 02:50:00.000,0.06060400000000001,0.5373410000000001,0.210579,0.23367399999999997,11.4533,1.0,2
7,1,81.0,below,0.8,8.2,9.0,113.0,0.66,-60.0,2018-06-05 06:50:00.000,2018-06-05 05:25:00.000,2018-06-05 04:30:00.000,2018-06-05 04:10:00.000,0.06060400000000001,0.5373410000000001,0.210579,0.23367399999999997,11.4533,1.0,2
8,3,93.0,below,0.8,8.0,9.0,113.0,0.66,-50.0,2018-06-06 15:00:00.000,2018-06-06 15:00:00.000,2018-06-06 14:30:00.000,2018-06-06 14:10:00.000,0.060376,0.5407040000000001,0.211776,0.229456,11.4552,1.0,2
9,3,113.0,above,0.8,8.0,9.0,113.0,0.66,-50.0,2018-06-06 16:40:00.000,2018-06-06 16:40:00.000,2018-06-06 16:30:00.007,2018-06-06 16:05:00.000,0.060376,0.5407040000000001,0.211776,0.229456,11.4552,1.0,2
10,3,102.0,optimal,0.8,7.8,9.0,114.0,0.66,-50.0,2018-06-06 18:20:00.000,2018-06-06 18:20:00.000,2018-06-06 17:30:00.010,2018-06-06 17:30:00.000,0.060376,0.5407040000000001,0.211776,0.229456,11.4552,1.0,2
11,3,101.0,optimal,0.8,7.8,9.0,114.0,0.66,-50.0,2018-06-06 20:00:00.000,2018-06-06 20:00:00.000,2018-06-06 19:30:00.020,2018-06-06 19:30:00.000,0.060376,0.5407040000000001,0.211776,0.229456,11.4552,1.0,2
12,3,100.0,optimal,0.8,7.8,9.0,114.0,0.66,-50.0,2018-06-06 21:20:00.000,2018-06-06 21:20:00.000,2018-06-06 20:30:00.027,2018-06-06 20:00:00.000,0.060376,0.5407040000000001,0.211776,0.229456,11.4552,1.0,2
13,3,104.0,optimal,0.8,7.8,9.0,114.0,0.66,-50.0,2018-06-06 22:50:00.000,2018-06-06 22:50:00.000,2018-06-06 22:30:00.037,2018-06-06 22:05:00.000,0.060376,0.5407040000000001,0.211776,0.229456,11.4552,1.0,2
