,bigbag_filling_duration,bigbag_weight,efficiency,class,sifter_speed_nominal_pct,steam_preasure,dd_speed,temp_out,water_pct,water_correction,id,particles_grp1,particles_grp2,particles_grp3,moisture,usage_pct,elems
1,50,402,80,below,1,6.4,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
2,50,402,80,below,1,6.4,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
3,50,411,82,below,1,6.4,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
4,50,398,79,below,1,6.4,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
5,50,408,81,below,1,6.4,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
6,45,407,90,below,1,6.4,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
7,45,340,75,below,1,6.4,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
8,50,400,80,below,1,6.4,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
9,45,371,82,below,1,6.4,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
10,50,385,77,below,1,6.4,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
11,45,382,85,below,1,6.4,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
12,20,170,85,below,1,6.4,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
13,60,401,66,below,1,6.4,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
14,40,392,98,optimal,1,6.4,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
15,45,360,80,below,1,6.1,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
16,45,380,84,below,1,6.1,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
17,50,402,80,below,1,6.1,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
18,45,370,82,below,1,6.1,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
19,50,400,80,below,1,6.1,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
20,45,386,86,below,1,6.1,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
21,45,392,87,below,1,6.2,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
22,45,390,87,below,1,6.2,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
23,50,399,80,below,1,6.2,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
24,45,410,91,below,1,6.2,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
25,50,386,78,below,1,6.2,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
26,45,379,84,below,1,6.2,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
27,55,381,69,below,1,6.2,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
28,45,391,87,below,1,6.2,10,125,0.66,-40,0,0.78921,0.20979,0,11.8881,0.999,3
29,50,370,74,below,1,6.2,10,125,0.66,-40,1,0.79,0.21,0,11.8368,1,3
30,50,406,81,below,1,6.2,10,125,0.66,-40,1,0.79,0.21,0,11.8368,1,3
31,45,400,88,below,1,6.2,10,125,0.66,-40,1,0.79,0.21,0,11.8368,1,3
32,50,378,75,below,1,6.2,10,125,0.66,-40,1,0.79,0.21,0,11.8368,1,3
33,50,392,78,below,1,6.2,10,125,0.66,-40,1,0.79,0.21,0,11.8368,1,3
34,50,422,84,below,1,6.2,10,125,0.66,-40,1,0.79,0.21,0,11.8368,1,3
35,45,389,86,below,1,6.2,10,125,0.66,-40,1,0.79,0.21,0,11.8368,1,3
36,50,388,77,below,1,6.2,10,125,0.66,-40,1,0.79,0.21,0,11.8368,1,3
37,50,398,79,below,1,6.2,10,125,0.66,-40,1,0.79,0.21,0,11.8368,1,3
38,40,380,95,below,1,6.2,10,125,0.66,-40,1,0.79,0.21,0,11.8368,1,3
39,50,366,73,below,1,6.2,10,125,0.66,-40,1,0.79,0.21,0,11.8368,1,3
40,40,378,94,below,1,6.2,10,125,0.66,-40,1,0.79,0.21,0,11.8368,1,3
41,50,369,74,below,1,6.2,10,126,0.66,-40,1,0.79,0.21,0,11.8368,1,3
42,45,374,83,below,1,6.2,10,126,0.66,-40,1,0.79,0.21,0,11.8368,1,3
43,50,382,76,below,1,6.2,10,125,0.66,-40,1,0.79,0.21,0,11.8368,1,3
44,50,366,73,below,1,6.2,10,124,0.66,-40,1,0.79,0.21,0,11.8368,1,3
45,45,364,80,below,1,6.2,10,123,0.66,-40,1,0.79,0.21,0,11.8368,1,3
46,50,367,73,below,1,6.2,10,123,0.66,-40,1,0.79,0.21,0,11.8368,1,3
47,40,300,75,below,1,6.2,10,123,0.66,-40,1,0.79,0.21,0,11.8368,1,3
48,40,320,80,below,1,6.2,10,122,0.66,-40,1,0.79,0.21,0,11.8368,1,3
49,30,300,100,optimal,1,6.2,10,121,0.66,-40,1,0.79,0.21,0,11.8368,1,3
50,60,361,60,below,1,6.2,10,121,0.66,-40,1,0.79,0.21,0,11.8368,1,3
51,45,384,85,below,1,6.5,11.5,130,0.66,-40,2,0.79,0.21,0,11.8,1,1
52,45,388,86,below,1,6.5,11.5,130,0.66,-40,2,0.79,0.21,0,11.8,1,1
53,45,392,87,below,1,6.5,11.5,130,0.66,-40,2,0.79,0.21,0,11.8,1,1
54,45,400,88,below,1,6,10.5,130,0.66,-40,2,0.79,0.21,0,11.8,1,1
55,45,397,88,below,1,6,10.5,130,0.66,-40,2,0.79,0.21,0,11.8,1,1
56,30,253,84,below,1,6,10.5,130,0.66,-40,2,0.79,0.21,0,11.8,1,1
57,60,411,69,below,1,6,8,124,0.66,-70,3,0.603775,0.396225,0,12.6595,1,2
58,40,414,104,optimal,1,7.8,9.5,125,0.66,-70,3,0.603775,0.396225,0,12.6595,1,2
59,30,314,105,optimal,1,7.8,9.5,125,0.66,-70,3,0.603775,0.396225,0,12.6595,1,2
60,35,321,92,below,1,7.8,10,120,0.66,-70,3,0.603775,0.396225,0,12.6595,1,2
61,35,340,97,below,1,7.8,10,120,0.66,-70,3,0.603775,0.396225,0,12.6595,1,2
62,40,412,103,optimal,1,7.8,10,120,0.66,-70,3,0.603775,0.396225,0,12.6595,1,2
63,45,420,93,below,1,7.8,10,120,0.66,-70,3,0.603775,0.396225,0,12.6595,1,2
64,50,422,84,below,1,7.8,10,120,0.66,-70,3,0.603775,0.396225,0,12.6595,1,2
65,40,420,105,optimal,1,7.8,10,120,0.66,-70,3,0.603775,0.396225,0,12.6595,1,2
